name,Ingredient,,,,,,,,,,,,,,,,,,,,,,,
Cure Disease,Charred Skeever Hide,Hawk Feathers,Mudcrab Chitin,Vampire Dust,,,,,,,,,,,,,,,,,,,,
Regenerate Magicka,Dwarven Oil,Fire Salts,Garlic,Jazbay Grapes,Moon Sugar,Salt Pile,Taproot,,,,,,,,,,,,,,,,,
Regenerate Stamina,Bee,Fly Amanita,Mora Tapinella,Scaly Pholiota,,,,,,,,,,,,,,,,,,,,
Resist Fire,Bone Meal,Dragon's Tongue,Elves Ear,Fire Salts,Fly Amanita,Mudcrab Chitin,Snowberries,,,,,,,,,,,,,,,,,
Resist Frost,Frost Mirriam,Frost Salts,Hawk Beak,Moon Sugar,Purple Mountain Flower,Silverside Perch,Small Pearl,Snowberries,Thistle Branch,,,,,,,,,,,,,,,
Resist Magic,Bleeding Crown,Chicken's Egg,Crimson Nirnroot,Hagraven Claw,Lavender,Nirnroot,Tundra Cotton,Void Salts,Wisp Wrappings,,,,,,,,,,,,,,,
Resist Poison,Beehive Husk,Charred Skeever Hide,Falmer Ear,Garlic,Grass Pod,Mudcrab Chitin,Slaughterfish Egg,,,,,,,,,,,,,,,,,
Resist Shock ,Blue Dartwing,Glow Dust,Glowing Mushrooms,Hawk Beak,Pearl,Pine Thrush Egg,Snowberries,Swamp Fungal Pod,,,,,,,,,,,,,,,,
Restore Health,Blisterwort,Blue Dartwing,Blue Mountain Flower,Butterfly Wing,Charred Skeever Hide,Daedra Heart,Eye of Sabre Cat,Imp Stool,Rock Warbler Egg,Swamp Fungal Pod,Wheat,,,,,,,,,,,,,
Restore Magicka,Briar Heart,Creep Cluster,Dwarven Oil,Ectoplasm,Elves Ear,Fire Salts,Frost Salts,Giant Lichen,Grass Pod,Human Flesh,Moon Sugar,Mora Tapinella,Pearl,Red Mountain Flower,Taproot,Vampire Dust,White Cap,,,,,,,
Restore Stamina,Bear Claws,Bee,Charred Skeever Hide,Eye of Sabre Cat,Hawk Beak,Histcarp,Honeycomb,Large Antlers,Mudcrab Chitin,Orange Dartwing,Pearl,Pine Thrush Egg,Powdered Mammoth Tusk,Purple Mountain Flower,Sabre Cat Tooth,Silverside Perch,Small Pearl,Torchbug Thorax,Wisp Wrappings,,,,,
Slow,Deathbell,Large Antlers,River Betty,Salt Pile,,,,,,,,,,,,,,,,,,,,
Waterbreathing,Chicken's Egg,Histcarp,Nordic Barnacle,,,,,,,,,,,,,,,,,,,,,
Weakness to Fire,Bleeding Crown,Frost Salts,Ice Wraith Teeth,Juniper Berries,Moon Sugar,Powdered Mammoth Tusk,,,,,,,,,,,,,,,,,,
Weakness to Frost,Abecean Longfish,Elves Ear,Fire Salts,Ice Wraith Teeth,White Cap,,,,,,,,,,,,,,,,,,,
Weakness to Magic ,Creep Cluster,Dwarven Oil,Jazbay Grapes,Rock Warbler Egg,Salt Pile,Scaly Pholiota,Taproot,Torchbug Thorax,,,,,,,,,,,,,,,,
Weakness to Poison,Abecean Longfish,Bleeding Crown,Chaurus Eggs,Deathbell,Giant Lichen,Pine Thrush Egg,Sabre Cat Tooth,Small Antlers,,,,,,,,,,,,,,,,
Weakness to Shock,Bee,Giant Lichen,Hagraven Feathers,Void Salts,,,,,,,,,,,,,,,,,,,,
